Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
06/03/2015,17856.78,1741.99,212.74,1.8156
09/03/2015,17995.72,1741.84,209.94,1.8029
10/03/2015,17662.94,1712.55,210.71,1.798
11/03/2015,17635.39,1710.79,207.67,1.7849
12/03/2015,17895.22,1728.62,208.14,1.8014
13/03/2015,17749.31,1719.82,210.93,1.8302
16/03/2015,17977.42,1740.09,211.07,1.8384
17/03/2015,17849.08,1736.63,213.17,1.8384
18/03/2015,18076.19,1754.1,213.79,1.8887
19/03/2015,17959.03,1751.31,213.04,1.8928
20/03/2015,18127.65,1774.57,214.68,1.8902
23/03/2015,18116.04,1778,214.22,1.8944
24/03/2015,18011.14,1772.41,215.34,1.9024
25/03/2015,17718.54,1756.48,214.15,1.8988
26/03/2015,17678.23,1744.9,210.02,1.8692
27/03/2015,17712.66,1744.82,210.82,1.8788
30/03/2015,17976.31,1757.31,212.61,1.8998
31/03/2015,17776.12,1740.81,212.6,1.8821
01/04/2015,17698.18,1738.15,211.68,1.878
02/04/2015,17763.24,1749.34,211.25,1.8847
03/04/2015,17763.24,1750.26,211.25,1.8847
06/04/2015,17880.85,1764.49,211.25,1.8847
07/04/2015,17875.42,1764.24,212.89,1.9121
08/04/2015,17902.51,1766.44,212.55,1.9216
09/04/2015,17958.73,1771.86,214.24,1.9391
10/04/2015,18057.65,1779.47,216.67,1.9557
13/04/2015,17977.04,1772.08,217.61,1.9618
14/04/2015,18036.7,1779.85,216.74,1.9534
15/04/2015,18112.61,1783.79,215.62,1.9463
16/04/2015,18105.77,1786.58,214.4,1.9327
17/04/2015,17826.3,1769.01,213.43,1.9073
20/04/2015,18034.93,1779.12,213.4,1.9082
21/04/2015,17949.59,1781.95,215.64,1.9282
22/04/2015,18038.27,1786.77,214.41,1.9141
23/04/2015,18058.69,1792.31,215.01,1.9201
24/04/2015,18080.14,1799.86,215.47,1.9156
27/04/2015,18037.97,1801.57,217.19,1.9097
28/04/2015,18110.14,1803.39,213.29,1.8847
29/04/2015,18035.53,1795.87,213.09,1.877
30/04/2015,17840.52,1778.4,210.71,1.8522
01/05/2015,18024.06,1787.4,211.16,1.8542
04/05/2015,18070.4,1790.83,211.16,1.8542
05/05/2015,17928.2,1773.42,214.64,1.8759
06/05/2015,17841.98,1772.82,212.1,1.8526
07/05/2015,17924.06,1769.25,210.58,1.8352
08/05/2015,18191.11,1794.7,211,1.8399
11/05/2015,18105.17,1789.09,212.83,1.8434
12/05/2015,18068.23,1784.91,208.98,1.8171
13/05/2015,18060.49,1789.97,209.24,1.8319
14/05/2015,18252.24,1803.42,208.55,1.8253
15/05/2015,18272.56,1807.06,212.17,1.855
18/05/2015,18298.88,1808.73,212.11,1.8511
19/05/2015,18312.39,1803.72,214.59,1.8801
20/05/2015,18285.4,1803.95,214.59,1.8831
21/05/2015,18285.74,1810.84,212.65,1.8642
22/05/2015,18232.02,1803.5,213.56,1.8719
25/05/2015,18232.02,1803.82,213.56,1.8719
26/05/2015,18041.54,1781.14,213.9,1.8764
27/05/2015,18162.99,1793.6,213.17,1.864
28/05/2015,18126.12,1791.35,216.12,1.8822
29/05/2015,18010.68,1779.31,216.48,1.8895
01/06/2015,18040.37,1778.28,215.23,1.8895
02/06/2015,18011.94,1782.39,214.87,1.8814
03/06/2015,18076.27,1789.91,213.45,1.8806
04/06/2015,17905.58,1775.44,211.47,1.8679
05/06/2015,17849.46,1760.43,210.74,1.8611
08/06/2015,17766.55,1752.2,210.82,1.878
09/06/2015,17764.04,1751.65,209.11,1.8685
10/06/2015,18000.4,1776.71,207.35,1.8483
11/06/2015,18039.37,1779.45,210.24,1.8727
12/06/2015,17898.84,1770.17,209.84,1.8645
15/06/2015,17791.17,1757.09,207.97,1.8599
16/06/2015,17904.48,1763.68,205.07,1.8377
17/06/2015,17935.74,1762.11,204.66,1.829
18/06/2015,18115.84,1780.62,203.68,1.8245
19/06/2015,18015.95,1774.88,206.64,1.8418
22/06/2015,18119.78,1796.12,207.05,1.8554
23/06/2015,18144.07,1795.98,208.76,1.8746
24/06/2015,17966.07,1785.7,208.24,1.8861
25/06/2015,17890.36,1781.48,207.42,1.8852
26/06/2015,17946.68,1776.22,206.66,1.879
29/06/2015,17596.35,1737.6,205.82,1.8533
30/06/2015,17619.51,1735.61,202.76,1.8398
01/07/2015,17757.91,1747.18,203.69,1.8547
02/07/2015,17730.11,1747.25,205.02,1.8654
03/07/2015,17730.11,1744.49,204.45,1.8613
06/07/2015,17683.58,1729.5,204.49,1.8534
07/07/2015,17776.91,1724.95,204.9,1.861
08/07/2015,17515.42,1706.87,207.1,1.8596
09/07/2015,17548.62,1717.47,206.67,1.8631
10/07/2015,17760.41,1743.32,207.44,1.87
13/07/2015,17977.68,1758.69,208.72,1.8824
14/07/2015,18053.58,1769.41,210.71,1.8922
15/07/2015,18050.17,1768.12,210.44,1.8977
16/07/2015,18120.25,1781.91,211.14,1.9081
17/07/2015,18086.45,1780.83,213.28,1.9225
20/07/2015,18100.41,1782.19,213.93,1.9224
21/07/2015,17919.29,1777.86,214.67,1.9387
22/07/2015,17851.04,1766.64,212.73,1.9208
23/07/2015,17731.92,1762.8,212.88,1.9335
24/07/2015,17568.53,1745.5,213.15,1.935
27/07/2015,17440.59,1733.58,212.81,1.902
28/07/2015,17630.27,1747.06,210.89,1.8843
29/07/2015,17751.39,1760.69,212.17,1.8944
30/07/2015,17745.98,1759.77,214,1.9073
31/07/2015,17689.86,1765.6,214.46,1.9206
03/08/2015,17598.2,1761.18,215.49,1.9206
04/08/2015,17550.69,1758.87,215.56,1.9519
05/08/2015,17540.47,1762.75,216.19,1.9671
06/08/2015,17419.75,1752.67,218.31,1.97
07/08/2015,17373.38,1747.34,216.47,1.9603
10/08/2015,17615.17,1766.62,216.68,1.9772
11/08/2015,17402.84,1749.63,216.24,1.9588
12/08/2015,17402.51,1742.42,213.04,1.9266
13/08/2015,17408.25,1741.43,213.59,1.9319
14/08/2015,17477.4,1743.89,213.18,1.9316
