Date,LINTGEB ID Equity,IPCBDYA LN Equity,JOHUOYA LN Equity,BAREBIN LN Equity,LIOSSFI LN Equity,FSMEQIA LN Equity,JPMEMBA LN Equity,FSAPLBA LN Equity,FSGEMBA LN Equity,MNKS LN Equity,ATT LN Equity,LINTGED ID Equity
07/02/2017,2.378,221.8,1.507,3423,359.55,305.99,258.2,648.81,585.13,601,894,1.6236
08/02/2017,2.362,222.04,1.506,3399,358.72,305.2,255.5,643.71,580.29,601.5,892.5,1.6128
09/02/2017,2.3632,222.22,1.51,3400,359.23,304.05,255.9,643.64,581.41,603,895,1.6135
10/02/2017,2.3743,222.17,1.512,3427,360.62,306.87,259,652.66,588.06,606.5,900,1.6212
13/02/2017,2.3716,222.08,1.512,3430,360.48,305.85,259.2,650.14,587.42,606.5,897,1.6193
14/02/2017,2.3846,222.05,1.516,3446,361.39,308.12,262.4,653.6,591.87,607,900,1.6283
15/02/2017,2.3857,222.15,1.512,3447,361.2,308.55,263.4,656.92,594.02,612.5,907.5,1.629
16/02/2017,2.3882,222.2,1.508,3450,361.64,308.64,263.4,654.99,593.75,608,895,1.6307
17/02/2017,2.4161,222.65,1.515,3464,363.05,312.46,263.7,659.1,597.69,610,896,1.6498
20/02/2017,2.4002,222.82,1.511,3454,362.45,311.41,263.4,654.36,595.39,616,899,1.6389
21/02/2017,2.4054,222.78,1.517,3454,363.17,312.78,263.9,657.32,598.25,612.5,905,1.6425
22/02/2017,2.4199,223.02,1.515,3440,363.73,313.91,264.9,658.22,599.01,613.5,904,1.6524
23/02/2017,2.4245,223.24,1.515,3451,364.68,313.89,266.4,658.89,601.45,607,900,1.6556
24/02/2017,2.4299,223.7,1.511,3414,363.27,313.25,263.8,654.64,595.62,608,899.5,1.6593
27/02/2017,2.4571,224.22,1.515,3443,364.66,317.5,265.2,660.51,599.39,612.5,902.25,1.6778
28/02/2017,2.4501,224.24,1.52,3454,365.71,316.42,263.2,658.89,597.25,612,894,1.6731
01/03/2017,2.469,224.5,1.528,3507,367.32,319.54,265.8,665.58,605.61,624,902,1.686
02/03/2017,2.4713,224.3,1.534,3523,367.91,322.19,268.1,667.22,606.94,623.5,911,1.6876
03/03/2017,2.4809,224.42,1.535,3539,368.38,322.71,267.1,666.62,605.48,626,907.25,1.6942
06/03/2017,2.4889,224.49,1.534,3536,368.47,322.28,268.7,666.68,608.47,624,907.75,1.6996
07/03/2017,2.4988,224.49,1.534,3557,369.22,323.88,269.6,672.79,612.82,626,910,1.7064
08/03/2017,2.4887,224.34,1.531,3555,367.3,323.99,270.2,675.83,612.16,631,915,1.6995
09/03/2017,2.4916,224.11,1.531,3556,365.29,324.34,268.4,670.17,606.04,635,910.75,1.7015
10/03/2017,2.5077,223.79,1.539,3597,367.77,326.41,268.8,672.21,608.62,636.5,915,1.7125
13/03/2017,2.505,223.95,1.538,3585,367.46,326.06,269.8,671.2,609.92,636,930,1.7107
14/03/2017,2.5129,223.75,1.543,3609,367.43,328.47,273.8,681.73,619.97,643,934,1.7161
15/03/2017,2.5042,223.79,1.54,3590,365.67,326.18,271.9,681.64,618.82,648,930,1.7102
16/03/2017,2.5113,224.11,1.548,3618,367.66,327.18,276.5,684.56,625,647.5,929,1.715
17/03/2017,2.5113,223.98,1.543,3607,367.09,324.88,276.3,682.48,622.77,645,940,1.715
20/03/2017,2.5132,224.16,1.545,3616,367.25,325.65,276.9,680.28,621.28,643.5,928.75,1.7164
21/03/2017,2.5088,224.18,1.543,3619,367.56,324.02,277.9,677.67,620,631.5,924.25,1.7133
22/03/2017,2.507,224.42,1.536,3562,363.02,322.04,273.7,672.36,613.91,618,910,1.7122
23/03/2017,2.5004,224.61,1.537,3578,365.16,321.58,274.1,672.27,613.64,620.5,914,1.7077
24/03/2017,2.51,224.42,1.541,3593,365.17,322.23,274.7,672.64,613.66,625,907,1.7142
